dun,constituency_id,number,name,party,party_id,logo_path
N.01 BANGGI,1,1,RAHIMAH MAJID,PERIKATAN NASIONAL (PN),1,PERIKATAN_NASIONAL_PN.png
N.01 BANGGI,1,2,AMONG BIN TIMBUL,PARTI IMPIAN SABAH (PIS),2,PARTI_IMPIAN_SABAH_PIS.png
N.01 BANGGI,1,3,DATU RAZAK DATU SALAM,PARTI KERJASAMA ANAK NEGERI (ANAK NEGERI),3,PARTI_KERJASAMA_ANAK_NEGERI_ANAK_NEGERI.png
N.01 BANGGI,1,4,NORMALAH RASIK,BARISAN NASIONAL OF MALAYSIA (BN),4,BARISAN_NASIONAL_OF_MALAYSIA_BN.png
N.01 BANGGI,1,5,ZAINAL BIN ROMIO,PARTI WARISAN SABAH (WARISAN),5,PARTI_WARISAN_SABAH_WARISAN.png
N.01 BANGGI,1,6,SAKINOLIN MOHAMAD,BEBAS (MANGGIS),6,BEBAS_MANGGIS.png
N.01 BANGGI,1,7,HALMAN BIN MANIUK,PARTI BUMI KENYALANG (PBK),7,PARTI_BUMI_KENYALANG_PBK.png
N.01 BANGGI,1,8,SALBIN BIN MUKSIN,PARTI SOLIDARITI TANAH AIRKU (STARSABAH),8,PARTI_SOLIDARITI_TANAH_AIRKU_STARSABAH.png
N.01 BANGGI,1,9,NASIB BIN SAMODI @ SAMNURI,BEBAS (KUNCI),9,BEBAS_KUNCI.png
N.01 BANGGI,1,10,DR. AZLAN @ RAYMON BIN MAJUMAH,PARTI KEBANGSAAN SABAH (PKS),10,PARTI_KEBANGSAAN_SABAH_PKS.png
N.01 BANGGI,1,11,DATUK MOHAMMAD BIN MOHAMARIN,PARTI GABUNGAN RAKYAT SABAH (GRS),11,PARTI_GABUNGAN_RAKYAT_SABAH_GRS.png
N.01 BANGGI,1,12,HUSSIN @ TALIYASIN BIN MASUDDIN,BEBAS (BAJU),12,BEBAS_BAJU.png
N.02 BENGKOKA,2,1,RAHIMAH MAJID,PERIKATAN NASIONAL (PN),1,PERIKATAN_NASIONAL_PN.png
N.02 BENGKOKA,2,2,AMONG BIN TIMBUL,PARTI IMPIAN SABAH (PIS),2,PARTI_IMPIAN_SABAH_PIS.png
N.02 BENGKOKA,2,3,DATU RAZAK DATU SALAM,PARTI KERJASAMA ANAK NEGERI (ANAK NEGERI),3,PARTI_KERJASAMA_ANAK_NEGERI_ANAK_NEGERI.png
N.02 BENGKOKA,2,4,NORMALAH RASIK,BARISAN NASIONAL OF MALAYSIA (BN),4,BARISAN_NASIONAL_OF_MALAYSIA_BN.png
N.02 BENGKOKA,2,5,ZAINAL BIN ROMIO,PARTI WARISAN SABAH (WARISAN),5,PARTI_WARISAN_SABAH_WARISAN.png
N.02 BENGKOKA,2,6,SAKINOLIN MOHAMAD,BEBAS (MANGGIS),6,BEBAS_MANGGIS.png
N.02 BENGKOKA,2,7,HALMAN BIN MANIUK,PARTI BUMI KENYALANG (PBK),7,PARTI_BUMI_KENYALANG_PBK.png
N.02 BENGKOKA,2,8,SALBIN BIN MUKSIN,PARTI SOLIDARITI TANAH AIRKU (STARSABAH),8,PARTI_SOLIDARITI_TANAH_AIRKU_STARSABAH.png
N.02 BENGKOKA,2,9,NASIB BIN SAMODI @ SAMNURI,BEBAS (KUNCI),9,BEBAS_KUNCI.png
N.02 BENGKOKA,2,10,DR. AZLAN @ RAYMON BIN MAJUMAH,PARTI KEBANGSAAN SABAH (PKS),10,PARTI_KEBANGSAAN_SABAH_PKS.png
N.02 BENGKOKA,2,11,DATUK MOHAMMAD BIN MOHAMARIN,PARTI GABUNGAN RAKYAT SABAH (GRS),11,PARTI_GABUNGAN_RAKYAT_SABAH_GRS.png
N.02 BENGKOKA,2,12,HUSSIN @ TALIYASIN BIN MASUDDIN,BEBAS (BAJU),12,BEBAS_BAJU.png
N.03 PITAS,3,1,RAHIMAH MAJID,PERIKATAN NASIONAL (PN),1,PERIKATAN_NASIONAL_PN.png
N.03 PITAS,3,2,AMONG BIN TIMBUL,PARTI IMPIAN SABAH (PIS),2,PARTI_IMPIAN_SABAH_PIS.png
N.03 PITAS,3,3,DATU RAZAK DATU SALAM,PARTI KERJASAMA ANAK NEGERI (ANAK NEGERI),3,PARTI_KERJASAMA_ANAK_NEGERI_ANAK_NEGERI.png
N.03 PITAS,3,4,NORMALAH RASIK,BARISAN NASIONAL OF MALAYSIA (BN),4,BARISAN_NASIONAL_OF_MALAYSIA_BN.png
N.03 PITAS,3,5,ZAINAL BIN ROMIO,PARTI WARISAN SABAH (WARISAN),5,PARTI_WARISAN_SABAH_WARISAN.png
N.03 PITAS,3,6,SAKINOLIN MOHAMAD,BEBAS (MANGGIS),6,BEBAS_MANGGIS.png
N.03 PITAS,3,7,HALMAN BIN MANIUK,PARTI BUMI KENYALANG (PBK),7,PARTI_BUMI_KENYALANG_PBK.png
N.03 PITAS,3,8,SALBIN BIN MUKSIN,PARTI SOLIDARITI TANAH AIRKU (STARSABAH),8,PARTI_SOLIDARITI_TANAH_AIRKU_STARSABAH.png
N.03 PITAS,3,9,NASIB BIN SAMODI @ SAMNURI,BEBAS (KUNCI),9,BEBAS_KUNCI.png
N.03 PITAS,3,10,DR. AZLAN @ RAYMON BIN MAJUMAH,PARTI KEBANGSAAN SABAH (PKS),10,PARTI_KEBANGSAAN_SABAH_PKS.png
N.03 PITAS,3,11,DATUK MOHAMMAD BIN MOHAMARIN,PARTI GABUNGAN RAKYAT SABAH (GRS),11,PARTI_GABUNGAN_RAKYAT_SABAH_GRS.png
N.03 PITAS,3,12,HUSSIN @ TALIYASIN BIN MASUDDIN,BEBAS (BAJU),12,BEBAS_BAJU.png
N.04 TANJONG KAPOR,4,1,RAHIMAH MAJID,PERIKATAN NASIONAL (PN),1,PERIKATAN_NASIONAL_PN.png
N.04 TANJONG KAPOR,4,2,AMONG BIN TIMBUL,PARTI IMPIAN SABAH (PIS),2,PARTI_IMPIAN_SABAH_PIS.png
N.04 TANJONG KAPOR,4,3,DATU RAZAK DATU SALAM,PARTI KERJASAMA ANAK NEGERI (ANAK NEGERI),3,PARTI_KERJASAMA_ANAK_NEGERI_ANAK_NEGERI.png
N.04 TANJONG KAPOR,4,4,NORMALAH RASIK,BARISAN NASIONAL OF MALAYSIA (BN),4,BARISAN_NASIONAL_OF_MALAYSIA_BN.png
N.04 TANJONG KAPOR,4,5,ZAINAL BIN ROMIO,PARTI WARISAN SABAH (WARISAN),5,PARTI_WARISAN_SABAH_WARISAN.png
N.04 TANJONG KAPOR,4,6,SAKINOLIN MOHAMAD,BEBAS (MANGGIS),6,BEBAS_MANGGIS.png
N.04 TANJONG KAPOR,4,7,HALMAN BIN MANIUK,PARTI BUMI KENYALANG (PBK),7,PARTI_BUMI_KENYALANG_PBK.png
N.04 TANJONG KAPOR,4,8,SALBIN BIN MUKSIN,PARTI SOLIDARITI TANAH AIRKU (STARSABAH),8,PARTI_SOLIDARITI_TANAH_AIRKU_STARSABAH.png
N.04 TANJONG KAPOR,4,9,NASIB BIN SAMODI @ SAMNURI,BEBAS (KUNCI),9,BEBAS_KUNCI.png
N.04 TANJONG KAPOR,4,10,DR. AZLAN @ RAYMON BIN MAJUMAH,PARTI KEBANGSAAN SABAH (PKS),10,PARTI_KEBANGSAAN_SABAH_PKS.png
