state,parlimen,dun,code_state,code_parlimen,code_dun,code_state_dun,year,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,age_proportion_0_14,age_proportion_15_64,age_proportion_65_above,age_proportion_18_above,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,constituency_id
Sabah,P.167 Kudat,N.01 Banggi,12,P.167,N.01,12_N.01,2020,621,9431,6766,2665,4825,4606,98.8,0.0,0.0,1.2,29.3,62.3,8.4,63.6,2588,2121,4.4,137,73,64,42,25,17,71.3,9.2,3966,2592,2523,0.299,61.7,10.0,65,1.0,0,0,0,0,0,0,0,1,75,21.3,0.0,78.7,87.2,12.8,1
Sabah,P.167 Kudat,N.02 Bengkoka,12,P.167,N.02,12_N.02,2020,"1,011",18399,17793,606,9612,8787,98.9,1.0,0.0,0.1,27.4,61.9,10.8,66.6,5331,4440,4.1,270,141,129,81,48,33,71.8,8.5,1747,2117,1398,0.299,75.0,77.0,575,4.0,2,1,0,1,0,2,7,91,553,54.5,0.0,45.5,97.7,2.3,2
Sabah,P.167 Kudat,N.03 Pitas,12,P.167,N.03,12_N.03,2020,454,19362,17976,1386,9947,9415,98.7,0.6,0.1,0.6,28.7,62.6,8.7,65.2,5379,4511,4.3,288,154,134,86,52,34,69.1,10.2,2120,3876,2303,0.46799999999999997,45.7,30.0,270,3.0,2,1,0,1,0,0,2,14,288,71.3,3.2,25.5,97.9,2.1,3
Sabah,P.167 Kudat,N.04 Tanjong Kapor,12,P.167,N.04,12_N.04,2020,214,45362,41099,4263,22946,22416,89.3,10.3,0.1,0.3,28.8,64.4,6.8,64.0,9717,9163,4.9,636,342,294,190,115,75,74.4,8.9,2971,4460,2872,0.418,37.5,117.0,497,3.0,7,2,0,3,2,1,13,13,605,95.6,2.1,2.3,100.0,0.0,4
Sabah,P.168 Kota Marudu,N.05 Matunggong,12,P.168,N.05,12_N.05,2020,534,34457,33116,1341,17517,16940,98.4,1.4,0.0,0.2,29.4,60.7,9.9,63.3,8185,7381,4.6,494,265,229,147,89,58,69.3,8.7,2124,3125,2043,0.42100000000000004,49.8,66.0,483,1.0,5,3,0,1,1,0,7,102,440,74.1,0.5,25.4,100.0,0.0,5
Sabah,P.168 Kota Marudu,N.06 Bandau,12,P.168,N.06,12_N.06,2020,756,35063,33787,1276,18071,16992,97.0,2.4,0.0,0.5,30.6,61.7,7.7,63.9,9274,8063,4.4,497,263,234,148,89,59,73.8,7.7,2328,3356,2336,0.391,49.9,118.0,785,6.0,7,6,0,0,1,0,13,23,883,86.0,0.0,14.0,99.8,0.2,6
Sabah,P.168 Kota Marudu,N.07 Tandek,12,P.168,N.07,12_N.07,2020,992,30478,29289,1189,15640,14838,97.4,2.1,0.1,0.4,28.7,62.8,8.4,65.3,8603,7345,4.2,432,230,202,129,78,51,75.9,9.6,3286,4795,2819,0.436,31.9,44.0,225,4.0,7,6,1,0,0,0,6,11,252,79.5,0.0,20.5,99.3,0.7,7
Sabah,P.169 Kota Belud,N.08 Pintasan,12,P.169,N.08,12_N.08,2020,300,19371,18604,767,9600,9771,98.2,1.2,0.1,0.6,26.7,61.7,11.6,66.1,3818,3898,4.9,285,152,133,84,52,32,62.2,11.1,1973,3081,1825,0.44299999999999995,53.3,70.0,685,3.0,3,2,0,1,0,0,19,176,560,42.2,0.0,57.8,100.0,0.0,8
Sabah,P.169 Kota Belud,N.09 Tempasuk,12,P.169,N.09,12_N.09,2020,159,20188,19844,344,10020,10168,99.0,0.6,0.1,0.2,25.8,62.7,11.4,67.6,3978,3923,5.1,291,160,131,87,54,33,60.4,9.6,3316,4656,2815,0.381,19.4,12.0,184,,1,1,0,0,0,0,2,20,173,74.2,12.9,12.9,100.0,0.0,9
Sabah,P.169 Kota Belud,N.10 Usukan,12,P.169,N.10,12_N.10,2020,95,34458,32453,2005,17465,16993,95.5,4.0,0.1,0.4,26.1,65.3,8.6,66.0,7026,6248,5.5,492,265,227,147,89,58,61.7,11.6,3779,5045,2629,0.39399999999999996,32.7,60.0,937,2.0,3,2,0,0,1,0,11,37,971,87.2,1.2,11.6,100.0,0.0,10
