id,code,name
1,N.01,Banggi
2,N.02,Bengkoka
3,N.03,Pitas
4,N.04,Tanjong Kapor
5,N.05,Matunggong
6,N.06,Bandau
7,N.07,Tandek
8,N.08,Pintasan
9,N.09,Tempasuk
10,N.10,Usukan
11,N.11,Kadamaian
12,N.12,Sulaman
13,N.13,Pantai Dalit
14,N.14,Tamparuli
15,N.15,Kiulu
16,N.16,Karambunai
17,N.17,Darau
18,N.18,Inanam
19,N.19,Likas
20,N.20,Api-Api
21,N.21,Luyang
22,N.22,Tanjung Aru
23,N.23,Petagas
24,N.24,Tanjung Keramat
25,N.25,Kapayan
26,N.26,Moyog
27,N.27,Limbahau
28,N.28,Kawang
29,N.29,Pantai Manis
30,N.30,Bongawan
31,N.31,Membakut
32,N.32,Klias
33,N.33,Kuala Penyu
34,N.34,Lumadan
35,N.35,Sindumin
36,N.36,Kundasang
37,N.37,Karanaan
38,N.38,Paginatan
39,N.39,Tambunan
40,N.40,Bingkor
41,N.41,Liawan
42,N.42,Melalap
43,N.43,Kemabong
44,N.44,Tulid
45,N.45,Sook
46,N.46,Nabawan
47,N.47,Telupid
48,N.48,Sugut
49,N.49,Labuk
50,N.50,Gum-Gum
51,N.51,Sungai Manila
52,N.52,Sungai Sibuga
53,N.53,Sekong
54,N.54,Karamunting
55,N.55,Elopura
56,N.56,Tanjong Papat
57,N.57,Kuamut
58,N.58,Lamag
59,N.59,Sukau
60,N.60,Tungku
61,N.61,Segama
62,N.62,Silam
63,N.63,Kunak
64,N.64,Sulabayan
65,N.65,Senallang
66,N.66,Bugaya
67,N.67,Balung
68,N.68,Apas
69,N.69,Sri Tanjong
70,N.70,Kukusan
71,N.71,Tanjung Batu
72,N.72,Merotai
73,N.73,Sebatik
