date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result,area_name,wasIncumbent
2013-05-05,SE-12,Sabah,N.01 Banggi,1,Abd Mijul Bin Unaini,13414,BN,25,4293,61.319811455506354,won,Banggi,True
2013-05-05,SE-12,Sabah,N.01 Banggi,2,Mursalim Bin Tanjul,15758,BEBAS,1,642,9.170118554492216,lost_deposit,Banggi,False
2013-05-05,SE-12,Sabah,N.01 Banggi,3,Jae-Ly Bin Medong,18409,SAPP,66,536,7.656049135837738,lost_deposit,Banggi,False
2013-05-05,SE-12,Sabah,N.01 Banggi,4,Datu Abdul Razak Bin Datu Abdul Salam,18410,PKR,11,1054,15.054992143979431,lost,Banggi,False
2013-05-05,SE-12,Sabah,N.01 Banggi,5,Datu Mohd Arifin Bin Datu Abdul Salam,18411,STAR,64,476,6.79902871018426,lost_deposit,Banggi,False
2013-05-05,SE-12,Sabah,N.02 Tanjong Kapor,1,Zainal Bin Hj. Nasiruddin,18412,BERSAMA,70,363,2.1395732641754095,lost_deposit,Tanjong Kapor,False
2013-05-05,SE-12,Sabah,N.02 Tanjong Kapor,2,Alex Wong,18413,BEBAS,1,35,0.2062949428268301,lost_deposit,Tanjong Kapor,False
2013-05-05,SE-12,Sabah,N.02 Tanjong Kapor,3,Hendiri @ Hendry Bin Minar,18414,STAR,64,273,1.6091005540492749,lost_deposit,Tanjong Kapor,False
2013-05-05,SE-12,Sabah,N.02 Tanjong Kapor,4,Tsen Heng Chong @ Peter Tsen,18415,SAPP,66,500,2.947070611811859,lost_deposit,Tanjong Kapor,False
2013-05-05,SE-12,Sabah,N.02 Tanjong Kapor,5,Teo Chee Kang,17084,BN,25,8890,52.39891547801485,won,Tanjong Kapor,True
2013-05-05,SE-12,Sabah,N.02 Tanjong Kapor,6,Chin Chung Kui @ William Chin,18417,PKR,11,6905,40.69904514912177,lost,Tanjong Kapor,False
2013-05-05,SE-12,Sabah,N.03 Pitas,1,Johnes @ Onis Bin Piut,18418,SAPP,66,232,2.0366956369063294,lost_deposit,Pitas,False
2013-05-05,SE-12,Sabah,N.03 Pitas,2,Awang Latip Bin Abdul Salam,18419,KITA,29,138,1.2114827495391098,lost_deposit,Pitas,False
2013-05-05,SE-12,Sabah,N.03 Pitas,3,Maklin Bin Masiau,18420,STAR,64,3111,27.311035027653414,lost,Pitas,False
2013-05-05,SE-12,Sabah,N.03 Pitas,4,Datuk Bolkiah Bin Hj Ismail,18421,BN,25,6934,60.87261873408831,won,Pitas,True
2013-05-05,SE-12,Sabah,N.03 Pitas,5,Dausieh Binti Queck @ Paraman,18422,PAS,3,976,8.568167851812834,lost_deposit,Pitas,False
2013-05-05,SE-12,Sabah,N.04 Matunggong,1,Sarapin Bin Magana,17094,BN,25,6627,42.6694997102569,lost,Matunggong,True
2013-05-05,SE-12,Sabah,N.04 Matunggong,2,Richard Bin Jiun,18424,SAPP,66,367,2.363015903676518,lost_deposit,Matunggong,False
2013-05-05,SE-12,Sabah,N.04 Matunggong,3,Marunsai Bin Dawai,18425,STAR,64,1536,9.889897624106625,lost_deposit,Matunggong,False
2013-05-05,SE-12,Sabah,N.04 Matunggong,4,Jelani Bin Hamdan,9778,PKR,11,6947,44.72989504861245,won,Matunggong,False
2013-05-05,SE-12,Sabah,N.04 Matunggong,5,Jolius Bin Majawai,18427,BEBAS,1,54,0.34769171334749854,lost_deposit,Matunggong,False
2013-05-05,SE-12,Sabah,N.05 Tandek,1,Anthony Mandiau,3196,PKR,11,4124,24.88685052199626,lost,Tandek,False
2013-05-05,SE-12,Sabah,N.05 Tandek,2,Jebon Janaun,18429,STAR,64,2668,16.100416390079054,lost,Tandek,False
2013-05-05,SE-12,Sabah,N.05 Tandek,3,Henry Yapolai,18430,SAPP,66,380,2.2931627542091606,lost_deposit,Tandek,False
2013-05-05,SE-12,Sabah,N.05 Tandek,4,Anita Baranting,17096,BN,25,9399,56.71957033371553,won,Tandek,True
2013-05-05,SE-12,Sabah,N.06 Tempasuk,1,Abdul Malik Bin Mohed,10712,SAPP,66,319,2.3002595904239973,lost_deposit,Tempasuk,False
