date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc,constituency_id,area_name
2013-05-05,SE-12,Sabah,N.01 Banggi,9861,7257,0,256,7001,3239,73.592941892303,46.26481931152692,3.527628496623949,0.0,1,Banggi
2013-05-05,SE-12,Sabah,N.02 Tanjong Kapor,22476,17402,38,398,16966,1985,77.42480868481937,11.69987032889308,2.2920985947938264,0.2183657050913688,2,Tanjong Kapor
2013-05-05,SE-12,Sabah,N.03 Pitas,14912,11762,17,354,11391,3823,78.87607296137341,33.561583706434895,3.0140485312899106,0.1445332426458085,3,Pitas
2013-05-05,SE-12,Sabah,N.04 Matunggong,19977,15908,7,370,15531,320,79.63157631275969,2.060395338355547,2.3268976793912333,0.0440030173497611,4,Matunggong
2013-05-05,SE-12,Sabah,N.05 Tandek,22220,17217,47,599,16571,5275,77.48424842484248,31.83271981171927,3.488642981945253,0.2729860022071209,5,Tandek
2013-05-05,SE-12,Sabah,N.06 Tempasuk,16866,14222,29,325,13868,5210,84.32349104707696,37.568503028554936,2.289861199182696,0.2039094360849388,6,Tempasuk
2013-05-05,SE-12,Sabah,N.07 Kadamaian,15903,13645,55,301,13289,889,85.8014211155128,6.6897433967943405,2.214863870493009,0.4030780505679736,7,Kadamaian
2013-05-05,SE-12,Sabah,N.08 Usukan,18698,15635,32,372,15231,6812,83.61856883089102,44.724574880178594,2.3841568929052106,0.2046690118324272,8,Usukan
2013-05-05,SE-12,Sabah,N.09 Tamparuli,17265,14469,41,187,14241,383,83.80538662033015,2.6894178779580087,1.2960909342944276,0.2833644343078305,9,Tamparuli
2013-05-05,SE-12,Sabah,N.10 Sulaman,19587,17066,22,449,16595,10441,87.12921835911574,62.91654112684544,2.6343581318939218,0.1289112855970936,10,Sulaman
2013-05-05,SE-12,Sabah,N.11 Kiulu,11424,9314,26,171,9117,44,81.53011204481794,0.4826148952506307,1.8410852713178296,0.2791496671677045,11,Kiulu
2013-05-05,SE-12,Sabah,N.12 Karambunai,28971,23394,53,661,22680,9276,80.74971523247385,40.8994708994709,2.831926652671265,0.2265538172180901,12,Karambunai
2013-05-05,SE-12,Sabah,N.13 Inanam,24403,20106,32,421,19653,3202,82.39150924066712,16.292677962652014,2.097240211218492,0.1591564707052621,13,Inanam
2013-05-05,SE-12,Sabah,N.14 Likas,15294,11596,15,99,11482,5652,75.82058323525565,49.22487371538059,0.8548484586823245,0.1293549499827526,14,Likas
2013-05-05,SE-12,Sabah,N.15 Api-Api,15103,12111,12,309,11790,795,80.18936635105608,6.743002544529263,2.553930076865857,0.0990834778300718,15,Api-Api
2013-05-05,SE-12,Sabah,N.16 Luyang,20119,15841,28,110,15703,8676,78.73651771956855,55.250589059415404,0.6956301777018908,0.1767565178965974,16,Luyang
2013-05-05,SE-12,Sabah,N.17 Tanjong Aru,21973,17052,13,448,16591,3690,77.60433258999682,22.240974022060147,2.629262280650273,0.0762373915083274,17,Tanjong Aru
2013-05-05,SE-12,Sabah,N.18 Petagas,15517,12884,151,267,12466,5653,83.03151382354838,45.34734477779561,2.096913531767848,1.1719962744489287,18,Petagas
2013-05-05,SE-12,Sabah,N.19 Kapayan,26767,22032,47,482,21503,7287,82.31030746815108,33.88829465655955,2.1924039117580167,0.2133260711692084,19,Kapayan
2013-05-05,SE-12,Sabah,N.20 Moyog,17556,14850,22,204,14624,1682,84.58646616541353,11.50164113785558,1.3757755597518209,0.1481481481481481,20,Moyog
2013-05-05,SE-12,Sabah,N.21 Kawang,19901,17128,35,237,16856,8900,86.06602683282247,52.800189843379215,1.3865324986836716,0.2043437645959832,21,Kawang
2013-05-05,SE-12,Sabah,N.22 Pantai Manis,18870,16134,20,239,15875,4409,85.5007949125596,27.77322834645669,1.4831823259277648,0.12396181975951402,22,Pantai Manis
2013-05-05,SE-12,Sabah,N.23 Bongawan,14851,12891,25,261,12605,3392,86.8022355396943,26.90995636652122,2.028602518265195,0.1939337522302381,23,Bongawan
2013-05-05,SE-12,Sabah,N.24 Membakut,11777,10279,19,237,10023,3510,87.28029209476097,35.019455252918284,2.309941520467836,0.1848428835489833,24,Membakut
2013-05-05,SE-12,Sabah,N.25 Klias,15338,13085,21,342,12722,179,85.31099230668926,1.4070114761829902,2.6178812002449483,0.1604891096675582,25,Klias
2013-05-05,SE-12,Sabah,N.26 Kuala Penyu,14759,12915,26,250,12639,2273,87.50592858594757,17.984017722921113,1.9396384513926608,0.2013162988772744,26,Kuala Penyu
2013-05-05,SE-12,Sabah,N.27 Lumadan,13777,11780,58,246,11476,3862,85.5048268853887,33.652840711049144,2.0986179832793037,0.4923599320882852,27,Lumadan
2013-05-05,SE-12,Sabah,N.28 Sindumin,15400,12607,20,340,12247,4323,81.86363636363636,35.2984404343921,2.701199650432986,0.1586420242722297,28,Sindumin
2013-05-05,SE-12,Sabah,N.29 Kundasang,13322,10307,12,264,10031,1975,77.36826302357005,19.688964210946068,2.5643516270034,0.116425730086349,29,Kundasang
2013-05-05,SE-12,Sabah,N.30 Karanaan,12456,10353,22,149,10182,3500,83.11657032755299,34.37438617167551,1.4422611557448457,0.2124987926204964,30,Karanaan
2013-05-05,SE-12,Sabah,N.31 Paginatan,13275,10798,26,174,10598,979,81.34086629001884,9.237591998490279,1.6152989231340509,0.2407853306167808,31,Paginatan
2013-05-05,SE-12,Sabah,N.32 Tambunan,13757,11703,20,192,11491,2079,85.06941920476848,18.09242015490384,1.6434135068047588,0.1708963513628983,32,Tambunan
2013-05-05,SE-12,Sabah,N.33 Bingkor,15878,12923,15,185,12723,456,81.38934374606374,3.584060363121905,1.4332197087077783,0.1160721194769016,33,Bingkor
2013-05-05,SE-12,Sabah,N.34 Liawan,14056,11518,11,172,11335,1752,81.94365395560614,15.45655050727834,1.4947423307551924,0.095502691439486,34,Liawan
2013-05-05,SE-12,Sabah,N.35 Melalap,12074,9832,7,222,9603,2599,81.43117442438297,27.06445902322191,2.2595419847328246,0.0711960943856794,35,Melalap
2013-05-05,SE-12,Sabah,N.36 Kemabong,13230,11112,8,404,10700,3032,83.99092970521542,28.336448598130847,3.6383285302593658,0.0719942404607631,36,Kemabong
2013-05-05,SE-12,Sabah,N.37 Sook,16354,13546,11,301,13234,4395,82.82988871224165,33.209913858243915,2.2238640561507204,0.0812047836999852,37,Sook
2013-05-05,SE-12,Sabah,N.38 Nabawan,9840,7845,1,185,7659,342,79.72560975609754,4.465334900117509,2.358490566037736,0.0127469725940089,38,Nabawan
2013-05-05,SE-12,Sabah,N.39 Sugut,9675,7178,3,326,6849,2820,74.19121447028424,41.17389399912396,4.543554006968642,0.0417943716912789,39,Sugut
